STDPL,SMSSL,LPFL,MedianSI,sacl,sacr,fixl,fixr,Class
1.31277917,2.068832657,3.494915022,35.319,26.64655606,26.64655606,26.14379085,28.65761689,1
1.281178767,1.987190466,3.478424132,8.363639,16.67778519,16.34422949,16.34422949,16.67778519,1
1.157947732,1.781790779,3.125018,3.965,12.12121212,14.14141414,11.11111111,13.13131313,1
1.219663838,1.904600543,3.296219,11.461579,14.85074254,11.50057503,14.80074004,13.65068253,1
1.130056298,1.757309157,3.097421,13.24031,7.077856421,9.100101112,6.066734075,8.088978766,1
1.09353463,1.743874717,2.924665,23.058,34.07951888,37.42064818,33.91246241,38.92415636,0
1.036779023,1.616263336,2.813124,24.88367,30.73325539,34.24085519,30.56622682,35.57708368,0
1.075468806,1.657616267,2.87682,3.420852,11.71377642,16.80672269,11.45912911,16.80672269,0
0.891734434,1.432573573,2.541206,27.030275,28.8750752,29.87768197,28.67455384,37.69801484,1
1.14710744,1.850399125,3.077997,23.850787,37.70739065,34.6907994,37.20462544,40.22121669,1
1.022463938,1.66306848,2.773259,12.033636,16.39892905,35.80990629,16.06425703,36.81392236,1
1.112967493,1.68649459,3.136018,16.873356,22.24469161,30.33367037,21.23356926,36.40040445,1
1.190601176,1.908983878,3.170542,20.158372,26.78120263,23.74936837,26.27589692,29.30773118,1
1.013391215,1.577739265,2.73174,3.158544,6.270378731,6.772009029,6.019563582,6.52119388,0
1.063371974,1.664584671,2.842716,7.325105,10.88180113,8.255159475,10.75672295,9.005628518,0
1.006969516,1.563211281,2.714411,6.575596,10.11673152,8.004446915,10.00555864,8.893829906,0
1.064494365,1.741421535,2.807227,25.383923,26.7361695,13.11585673,26.56801749,17.99226501,1
1.056729461,1.648977507,2.807193,11.628936,6.781545303,7.003891051,6.670372429,7.55975542,1
1.121042589,1.746614291,3.039098,11.793333,8.338892595,9.172781855,8.172114743,9.67311541,1
1.059123544,1.655389223,2.846655,2.604303,3.03030303,3.03030303,2.02020202,2.02020202,1
1.045863143,1.631129151,2.787733,27.280556,18.50925463,14.0070035,18.0090045,17.00850425,1
1.039279416,1.612148018,2.809602,16.33275,16.04814443,14.04212638,15.79739218,17.80341023,1
0.91086551,1.412287619,2.519678,36.778933,6.535947712,4.524886878,6.033182504,4.022121669,0
0.734265235,1.142912848,1.956141,12.82566,10.63164478,9.130706692,10.5065666,12.00750469,0
0.954531076,1.492217861,2.551472,4.659178,6.762680025,5.259862242,6.63744521,5.635566688,0
0.922558576,1.513739578,2.502041,24.838169,24.70406588,20.48378796,24.60113227,22.3365929,1
0.921133936,1.436373792,2.468638,8.682333,26.85123416,17.01134089,26.6844563,21.8478986,1
0.90934352,1.425323624,2.451368,6.238203,14.95847284,15.48028004,14.91498891,16.65434622,1
0.845538046,1.304068305,2.281933,4.109875,4.044489383,8.088978766,3.033367037,7.077856421,1
0.858105238,1.341771128,2.407152,10.977871,17.13870073,12.86539074,17.09323999,15.09296722,1
0.854577291,1.326236116,2.297496,13.186765,14.44679352,21.49400987,14.0944327,21.14164905,1
0.757869702,1.209561538,2.062765,9.982239,18.97860594,12.07729469,18.63354037,19.3236715,1
0.923916936,1.445230466,2.548643,2.009412,14.06581741,15.12738854,13.80042463,14.86199575,1
0.773011147,1.236457466,2.153308,7.086383,16.73360107,22.42302544,16.39892905,24.09638554,1
0.914985519,1.461068723,2.451324,17.701091,28.8992158,21.20243973,28.75399361,23.0903282,1
0.919303792,1.396711833,2.527961,14.625067,17.18907988,10.11122346,16.17795753,12.13346815,1
0.92754026,1.449843451,2.507902,17.915435,22.12166918,18.09954751,21.61890397,17.5967823,1
0.957041937,1.526858948,2.600285,33.754941,37.39262254,27.79181405,36.88731683,38.40323396,1
0.969070427,1.503124011,2.605371,4.451015,6.441454337,5.868880618,6.298310908,5.725737189,0
0.866933088,1.34324457,2.364371,20.035454,12.43232404,11.22919591,12.23180269,11.42971726,0
0.868976765,1.365412178,2.350076,4.828011,12.60756454,12.10726436,12.5075045,15.50930558,0
0.990065947,1.575262227,2.708733,3.17951,6.845178176,6.617204732,6.643849406,7.851822025,1
1.033030087,1.642743495,2.893477,6.865193,14.82579689,7.097232079,14.08450704,19.27353595,1
1.066041613,1.710198813,2.818397,6.961957,16.56524679,16.45399597,16.22718053,20.62204192,1
0.839440183,1.320522121,2.350354,11.956,14.07742584,16.59125189,13.57466063,19.60784314,1
0.833732919,1.29937992,2.233064,4.27,4.547935237,3.911224304,4.456976533,3.911224304,0
0.974046762,1.507626468,2.618493,1.708,1.003680161,3.680160589,0.669120107,3.345600535,0
0.964267892,1.491998046,2.606226,6.479852,4.883546206,6.260956674,4.758327072,6.135737541,1
0.904767622,1.404262215,2.432917,2.723214,3.001589077,2.471896887,2.942734389,2.471896887,1
0.926285783,1.456732735,2.486288,5.49,11.79554391,9.484720977,11.76105401,11.93350348,1
0.846536826,1.318219391,2.268776,1.914463,5.055611729,4.044489383,4.044489383,3.033367037,1
0.898947352,1.393709216,2.411064,3.392401,1.604170844,1.8046922,1.403649489,1.604170844,1
0.976208591,1.535434965,2.634257,19.04,21.41070535,22.11105553,21.31065533,32.91645823,0
1.165642572,1.80080336,3.149861,14.580488,13.02170284,22.25932109,12.91040623,30.05008347,0
1.049934135,1.62938752,2.815762,11.982628,14.7876362,18.34556371,14.67645097,24.46075161,0
0.83686306,1.346383985,2.223443,12.002202,13.509006,19.17945297,13.34222815,25.18345564,1
1.092388451,1.714170874,2.890438,8.713108,17.06256273,13.71696219,16.72800268,18.06624289,1
1.01932485,1.582408503,2.748936,7.9502,14.3860823,14.05152225,14.05152225,18.735363,1
1.017881941,1.609508422,2.717771,9.519143,12.67405987,14.84199116,12.5906779,18.51079797,1
1.179074157,1.838043476,3.204979,9.946418,12.56913022,11.5635998,12.06636501,19.60784314,1
0.747984657,1.151290246,2.017731466,16.851505,15.04513541,31.09327984,14.79438315,30.84252758,2
0.74128527,1.238294976,1.907756648,13.034737,16.3029847,30.42494342,16.05216955,30.17349761,2
0.697529101,1.100802937,1.881751911,18.371906,27.58274824,40.32258065,27.33199599,40.07056452,2
0.685404106,1.072069673,1.844454194,59.613636,14.07742584,18.53732859,13.82604324,18.28339259,2
0.68886902,1.083074338,1.86422842,28.535766,19.47273817,21.2585034,19.17315758,20.97505669,2
0.70896936,1.135027888,1.859706536,9.689455,18.72755259,21.81544634,18.47101077,21.56469408,2
0.703736723,1.146666265,1.875221123,51.280861,31.68217249,57.43666917,31.43072668,57.18585403,2
0.709637708,1.10837142,1.918851781,39.452279,28.62394958,44.55193483,28.36134454,44.29735234,2
0.685030117,1.11515193,1.805350165,15.931447,10.75537769,12.37998989,10.50525263,12.12733704,2
0.718298243,1.18995297,1.886799855,36.309065,19.10507793,29.72159518,18.85369532,29.34537246,2
0.737660786,1.148127239,2.040727269,23.550692,20.36659878,24.88687783,20.11201629,24.63549522,2
0.701935915,1.094043123,1.859276123,41.899375,25.41262772,44.72329472,25.15064187,44.4015444,2
0.735131266,1.18499043,1.923675897,64.2635,15.33082302,19.63421194,15.06186122,19.36525013,2
0.698639051,1.123633246,1.848056475,39.69966,28.83650953,40.52026013,28.58575727,40.27013507,2
0.759062096,1.312831983,1.961088591,20.696966,16.88933703,20.82804166,16.63725737,20.57404115,2
0.691427343,1.116150943,1.850966789,18.43696,21.47549267,21.31394183,21.22283982,21.06318957,2
0.719815928,1.152958601,1.886071332,29.978958,19.81203962,18.85369532,19.55803912,18.60231272,2
0.679382388,1.05894715,1.851553566,30.054936,26.34245187,38.36509529,26.08915907,38.11434303,2
